ZipCode,Population,case_count_cumulative,case_count_last_30_days,case_count_last_14_days,case_count_per_100K_cumulative,case_count_per_100K_last_30_days,case_count_per_100K_last_14_days,population_density,num_universities,num_uni_students
43768,497,7,6,None,1408.5,1207.2,None,484.7,0,0
43771,1895,43,30,19,2269.1,1583.1,1002.6,63.3,0,0
43772,1880,67,42,12,3563.8,2234.0,638.3,49.1,0,0
43773,3668,73,42,15,1990.2,1145.0,408.9,29.3,0,0
43777,4823,93,57,34,1928.3,1181.8,705,86.6,0,0
43778,1148,26,17,11,2264.8,1480.8,958.2,33.3,0,0
43779,855,40,21,None,4678.4,2456.1,None,26.3,0,0
43780,1697,71,26,14,4183.9,1532.1,825,50.8,0,0
43782,673,13,8,None,1931.6,1188.7,None,61.3,0,0
43783,4731,83,47,17,1754.4,993.4,359.3,78.3,0,0
43786,35,None,None,None,None,None,None,126.7,0,0
43787,3111,27,17,8,867.9,546.4,257.2,33.9,0,0
43788,754,24,18,None,3183.0,2387.3,None,23.8,0,0
43789,None,None,None,None,None,None,None,None,0,0
43791,None,None,None,None,None,None,None,None,0,0
43793,4901,151,45,28,3081.0,918.2,571.3,47.2,0,0
43802,1008,37,26,15,3670.6,2579.4,1488.1,29.7,0,0
43803,None,None,None,None,None,None,None,None,0,0
43804,3786,92,19,None,2430.0,501.8,None,119.1,0,0
43805,81,None,None,None,None,None,None,53.0,0,0
43811,835,25,9,None,2994.0,1077.8,None,42.2,0,0
43812,18640,487,219,69,2612.7,1174.9,370.2,117.4,0,0
43821,4389,148,104,41,3372.1,2369.6,934.2,46.7,0,0
43822,5115,136,89,37,2658.8,1740.0,723.4,57.8,0,0
43824,4116,53,22,13,1287.7,534.5,315.8,44.1,0,0
43828,None,None,None,None,None,None,None,None,0,0
43830,5775,229,141,54,3965.4,2441.6,935.1,122.3,0,0
43832,7349,234,111,61,3184.1,1510.4,830,76.0,0,0
43836,108,None,None,None,None,None,None,884.0,0,0
43837,1658,46,34,12,2774.4,2050.7,723.8,34.8,0,0
43840,1253,33,16,9,2633.7,1276.9,718.3,35.0,0,0
43842,330,10,7,None,3030.3,2121.2,None,581.3,0,0
43843,1062,31,18,7,2919.0,1694.9,659.1,34.0,0,0
43844,3519,83,55,21,2358.6,1562.9,596.8,29.0,0,0
43845,4607,181,124,39,3928.8,2691.6,846.5,162.0,0,0
43901,1984,48,18,10,2419.4,907.3,504,74.8,0,0
43902,116,7,6,None,6034.5,5172.4,None,9.9,0,0
43903,2108,32,13,8,1518.0,616.7,379.5,56.4,0,0
43905,107,None,None,None,None,None,None,470.9,0,0
43906,8643,146,76,30,1689.2,879.3,347.1,262.4,0,0
