Zip Code ,Population ,Case Count - Cumulative,Case Count - Last 30 Days ,Case Count - Last 14 Days ,Case Count Per 100K - Cumulative,Case Count Per 100K - Last 30 Days,Case Count Per 100K - Last 14 Days
43961,363,5,N/A,N/A,1377.40,N/A,N/A
43962,92,N/A,N/A,N/A,N/A,N/A,N/A
43963,1385,24,18,7,1732.90,1299.60,505.4
43964,8642,185,127,95,2140.70,1469.60,1099.30
43968,6212,185,123,80,2978.10,1980.00,1287.80
43970,80,N/A,N/A,N/A,N/A,N/A,N/A
43971,1100,19,6,N/A,1727.30,545.5,N/A
43972,121,N/A,N/A,N/A,N/A,N/A,N/A
43973,2281,20,15,9,876.8,657.6,394.6
43974,75,N/A,N/A,N/A,N/A,N/A,N/A
43976,1661,39,25,17,2348.00,1505.10,1023.50
43977,2289,38,13,N/A,1660.10,567.9,N/A
43983,454,N/A,N/A,N/A,N/A,N/A,N/A
43985,93,N/A,N/A,N/A,N/A,N/A,N/A
43986,2332,30,14,11,1286.40,600.3,471.7
43988,2263,36,20,9,1590.80,883.8,397.7
44001,21130,466,315,152,2205.40,1490.80,719.4
44003,4228,87,57,20,2057.70,1348.20,473
44004,31474,745,417,164,2367.00,1324.90,521.1
44010,1555,36,25,12,2315.10,1607.70,771.7
44011,22786,589,336,172,2584.90,1474.60,754.8
44012,23777,642,361,198,2700.10,1518.30,832.7
44017,18903,511,286,137,2703.30,1513.00,724.8
44021,6244,105,45,25,1681.60,720.7,400.4
44022,16604,420,211,122,2529.50,1270.80,734.8
44023,17473,419,239,121,2398.00,1367.80,692.5
44024,23834,682,424,201,2861.50,1779.00,843.3
44026,10989,305,181,93,2775.50,1647.10,846.3
44028,9000,189,108,59,2100.00,1200.00,655.6
44030,15949,364,200,76,2282.30,1254.00,476.5
44032,1516,19,14,N/A,1253.30,923.5,N/A
44035,63318,1459,800,383,2304.20,1263.50,604.9
44039,33018,907,454,250,2747.00,1375.00,757.2
44040,2903,114,71,41,3927.00,2445.70,1412.30
44041,14321,369,232,110,2576.60,1620.00,768.1
44044,15400,351,160,74,2279.20,1039.00,480.5
44045,477,14,10,6,2935.00,2096.40,1257.90
44046,2473,47,30,16,1900.50,1213.10,647
44047,9122,280,204,71,3069.50,2236.40,778.3
44048,2529,44,33,15,1739.80,1304.90,593.1
44049,224,N/A,N/A,N/A,N/A,N/A,N/A
44050,6384,187,114,69,2929.20,1785.70,1080.80
44052,28576,643,392,207,2250.10,1371.80,724.4
44053,18895,489,292,176,2588.00,1545.40,931.5
44054,12613,314,186,95,2489.50,1474.70,753.2
44055,19943,448,204,122,2246.40,1022.90,611.7
44056,11808,370,179,88,3133.50,1515.90,745.3
44057,19482,620,448,229,3182.40,2299.60,1175.40
44060,60476,1896,1327,590,3135.10,2194.30,975.6
44062,14523,321,91,47,2210.30,626.6,323.6
44064,1724,47,21,7,2726.20,1218.10,406
44065,4522,86,58,30,1901.80,1282.60,663.4
44067,20470,650,324,148,3175.40,1582.80,723
44070,31847,903,402,235,2835.40,1262.30,737.9
44072,4420,124,67,36,2805.40,1515.80,814.5
44074,11376,146,105,55,1283.40,923,483.5
44076,5022,87,46,21,1732.40,916,418.2
44077,56353,1621,1067,538,2876.50,1893.40,954.7
44080,92,N/A,N/A,N/A,N/A,N/A,N/A
44081,7104,176,126,59,2477.50,1773.60,830.5
44082,2464,14,10,5,568.2,405.8,202.9
44084,3749,104,77,22,2774.10,2053.90,586.8
44085,3448,52,29,13,1508.10,841.1,377
44086,2558,39,27,10,1524.60,1055.50,390.9
44087,20595,721,326,130,3500.80,1582.90,631.2
44089,15527,376,224,102,2421.60,1442.60,656.9
44090,11996,215,132,63,1792.30,1100.40,525.2
44092,16677,734,462,174,4401.30,2770.30,1043.40
44093,1210,23,15,N/A,1900.80,1239.70,N/A
44094,35755,1502,906,359,4200.80,2533.90,1004.10
44095,33340,1073,760,300,3218.40,2279.50,899.8
44099,2334,39,17,7,1671.00,728.4,299.9
44101,610,11,7,N/A,1803.30,1147.50,N/A
44102,45514,1231,599,335,2704.70,1316.10,736
44103,16519,554,181,84,3353.70,1095.70,508.5
44104,19640,472,158,85,2403.30,804.5,432.8
44105,37211,969,375,225,2604.10,1007.80,604.7
44106,25752,726,288,114,2819.20,1118.40,442.7
44107,50666,1634,802,397,3225.00,1582.90,783.6
44108,21939,630,217,116,2871.60,989.1,528.7
44109,40246,1073,549,333,2666.10,1364.10,827.4
44110,19116,520,199,107,2720.20,1041.00,559.7
44111,42821,1169,577,302,2730.00,1347.50,705.3
44112,21909,567,222,120,2588.00,1013.30,547.7
44113,20358,896,335,147,4401.20,1645.50,722.1
44114,6567,272,108,56,4141.90,1644.60,852.7
44115,8284,380,143,61,4587.20,1726.20,736.4
44116,20338,578,274,146,2842.00,1347.20,717.9
44117,9611,352,149,67,3662.50,1550.30,697.1
44118,38833,1198,452,274,3085.00,1164.00,705.6
44119,13108,480,232,128,3661.90,1769.90,976.5
44120,34276,912,317,167,2660.80,924.8,487.2
44121,33211,1242,523,250,3739.70,1574.80,752.8
44122,33342,1175,462,259,3524.10,1385.60,776.8
44123,16515,707,265,108,4281.00,1604.60,654
44124,37737,1273,628,305,3373.30,1664.10,808.2
44125,27939,998,421,210,3572.10,1506.90,751.6
44126,16372,487,238,125,2974.60,1453.70,763.5
44127,4375,78,31,12,1782.90,708.6,274.3
44128,28790,1066,342,210,3702.70,1187.90,729.4
44129,28276,913,412,213,3228.90,1457.10,753.3
44130,49787,1501,755,370,3014.80,1516.50,743.2
44131,20532,642,300,130,3126.80,1461.10,633.2
44132,14805,540,220,95,3647.40,1486.00,641.7
44133,30225,941,446,211,3113.30,1475.60,698.1
44134,37533,1233,523,232,3285.10,1393.40,618.1
44135,27640,773,334,176,2796.70,1208.40,636.8
44136,25776,752,374,186,2917.40,1451.00,721.6
44137,22657,938,336,184,4140.00,1483.00,812.1
44138,22378,536,296,161,2395.20,1322.70,719.5
44139,24212,706,324,184,2915.90,1338.20,760
44140,15391,399,211,107,2592.40,1370.90,695.2
44141,13830,394,196,92,2848.90,1417.20,665.2
44142,18674,543,274,138,2907.80,1467.30,739
44143,24241,1056,474,226,4356.30,1955.40,932.3
44144,21697,659,316,157,3037.30,1456.40,723.6
44145,32378,1189,526,292,3672.20,1624.60,901.8
44146,29223,1035,399,225,3541.70,1365.40,769.9
